"","id","genero","percepseg","victima","confianzacom","confianzapol"
"483",3701,1,2,2,3,3
"484",4243,1,2,2,3,6
"485",881,1,2,2,3,4
"486",6604,2,4,2,3,2
"487",1232,1,4,2,3,4
"488",539,1,2,2,2,4
"489",4216,1,3,2,2,3
"490",1636,2,3,2,2,4
"491",8621,1,3,2,3,5
"492",2852,2,4,1,2,1
"493",494,2,4,2,2,3
"494",135,1,4,2,4,1
"495",7859,2,2,2,1,2
"496",6903,1,3,2,2,1
"497",6134,2,2,2,4,3
"498",7756,1,4,2,3,3
"499",9392,2,3,2,3,4
"500",6588,1,2,2,3,1
"501",7964,2,2,2,3,4
"502",8854,2,3,2,4,3
"503",5999,1,2,2,2,4
"504",9042,1,2,2,1,3
"505",8149,2,4,2,3,4
"506",7485,1,4,1,2,2
"507",4631,2,3,2,NA,1
"508",7018,2,3,2,3,5
"509",3895,1,4,2,3,6
"510",1840,1,4,2,4,2
"511",4486,2,3,2,2,4
"512",7154,2,3,2,3,5
"513",6057,1,1,2,1,1
"514",3904,1,4,2,4,5
"515",7813,2,2,2,4,3
"516",1532,1,2,2,1,7
"517",5002,2,3,2,2,3
"518",5265,2,4,2,4,3
"519",6762,1,3,1,2,4
"520",6613,1,4,2,2,2
"521",656,2,3,2,2,2
"522",2478,2,2,2,4,3
"523",5553,1,2,2,3,5
"524",781,1,4,1,3,6
"525",3673,2,4,2,3,3
"526",4989,2,2,2,3,7
"527",2616,1,2,2,2,5
"528",9652,1,2,1,3,1
"529",8961,2,1,2,NA,7
"530",2283,1,NA,2,NA,5
"531",2313,1,3,2,3,3
"532",9148,1,2,1,2,4
"533",6333,2,2,2,1,5
"534",7302,1,3,1,3,3
"535",5722,2,2,2,2,2
"536",7221,2,2,2,2,4
"537",377,2,3,2,2,5
"538",3100,1,2,2,1,4
"539",6947,1,2,2,3,1
"540",3750,1,2,1,2,1
"541",112,2,3,1,3,1
"542",4928,2,4,1,3,1
"543",3,1,3,2,3,3
"544",1731,2,4,2,3,3
"545",7482,1,2,2,2,6
"546",8221,1,2,2,3,3
"547",2367,1,3,2,3,2
"548",3409,1,1,2,1,1
"549",7699,2,3,2,4,2
"550",6750,2,4,1,4,1
"551",6946,2,4,1,3,4
"552",6880,2,1,1,2,4
"553",7809,1,4,2,3,3
"554",2459,2,4,2,4,5
"555",3452,2,4,2,3,5
"556",8037,2,3,1,4,3
"557",7743,2,4,2,3,6
"558",5778,1,4,2,3,4
"559",7451,2,1,2,3,7
"560",1379,1,1,2,2,2
"561",7547,1,3,2,3,3
"562",8033,1,4,1,3,3
"563",1615,1,3,2,4,2
"564",9828,2,3,2,4,2
"565",9928,1,2,2,2,4
"566",3268,1,4,2,3,3
"567",8115,2,4,1,3,4
